"Time","Country","Value ($US)"
"2012","Canada","292,650,534,087"
"2012","Mexico","215,875,115,867"
"January 2012","Canada","22,078,483,818"
"January 2012","Mexico","17,011,237,926"
"February 2012","Canada","23,510,000,548"
"February 2012","Mexico","16,935,948,862"
"March 2012","Canada","26,418,441,638"
"March 2012","Mexico","19,006,945,753"
"April 2012","Canada","24,495,603,566"
"April 2012","Mexico","17,208,588,868"
"May 2012","Canada","25,912,565,173"
"May 2012","Mexico","18,426,917,492"
"June 2012","Canada","25,857,643,716"
"June 2012","Mexico","17,476,014,178"
"July 2012","Canada","22,774,697,237"
"July 2012","Mexico","17,539,885,608"
"August 2012","Canada","24,835,647,615"
"August 2012","Mexico","19,219,022,818"
"September 2012","Canada","24,147,866,076"
"September 2012","Mexico","17,457,370,464"
"October 2012","Canada","25,678,936,770"
"October 2012","Mexico","20,453,808,204"
"November 2012","Canada","24,679,568,411"
"November 2012","Mexico","18,763,965,975"
"December 2012","Canada","22,261,079,519"
"December 2012","Mexico","16,375,409,719"
"2013","Canada","300,754,868,974"
"2013","Mexico","225,954,367,783"
"January 2013","Canada","23,170,845,914"
"January 2013","Mexico","17,902,453,702"
"February 2013","Canada","23,199,318,297"
"February 2013","Mexico","17,703,202,113"
"March 2013","Canada","26,039,808,564"
"March 2013","Mexico","18,092,748,191"
"April 2013","Canada","26,209,760,419"
"April 2013","Mexico","19,794,582,575"
"May 2013","Canada","26,473,354,644"
"May 2013","Mexico","19,226,188,059"
"June 2013","Canada","25,393,740,866"
"June 2013","Mexico","17,986,313,583"
"July 2013","Canada","23,604,522,379"
"July 2013","Mexico","19,581,824,520"
"August 2013","Canada","25,373,202,666"
"August 2013","Mexico","19,191,120,817"
"September 2013","Canada","24,881,162,620"
"September 2013","Mexico","18,023,020,208"
"October 2013","Canada","27,028,748,556"
"October 2013","Mexico","21,065,328,654"
"November 2013","Canada","25,681,488,450"
"November 2013","Mexico","19,290,421,560"
"December 2013","Canada","23,698,915,599"
"December 2013","Mexico","18,097,163,801"
"2014","Canada","312,816,950,458"
"2014","Mexico","241,007,162,317"
"January 2014","Canada","22,576,190,841"
"January 2014","Mexico","19,167,414,649"
"February 2014","Canada","23,421,917,212"
"February 2014","Mexico","18,467,832,751"
"March 2014","Canada","27,112,963,518"
"March 2014","Mexico","20,015,283,456"
"April 2014","Canada","26,608,995,575"
"April 2014","Mexico","19,900,305,999"
"May 2014","Canada","27,370,160,527"
"May 2014","Mexico","21,059,063,166"
"June 2014","Canada","27,602,622,669"
"June 2014","Mexico","20,151,867,711"
"July 2014","Canada","26,230,066,297"
"July 2014","Mexico","20,832,824,219"
"August 2014","Canada","26,448,180,167"
"August 2014","Mexico","20,453,368,331"
"September 2014","Canada","26,831,334,322"
"September 2014","Mexico","20,065,265,951"
"October 2014","Canada","28,392,840,265"
"October 2014","Mexico","22,349,054,058"
"November 2014","Canada","25,465,027,401"
"November 2014","Mexico","19,706,705,795"
"December 2014","Canada","24,756,651,664"
"December 2014","Mexico","18,838,176,231"
"2015","Canada","280,855,169,199"
"2015","Mexico","236,460,137,152"
"January 2015","Canada","22,474,316,101"
"January 2015","Mexico","19,140,866,020"
"February 2015","Canada","21,845,640,058"
"February 2015","Mexico","18,159,869,965"
"March 2015","Canada","25,505,978,190"
"March 2015","Mexico","19,889,709,394"
"April 2015","Canada","24,443,781,945"
"April 2015","Mexico","20,046,800,038"
"May 2015","Canada","24,781,857,753"
"May 2015","Mexico","19,693,529,564"
"June 2015","Canada","24,798,342,487"
"June 2015","Mexico","20,521,325,543"
"July 2015","Canada","22,869,902,670"
"July 2015","Mexico","21,155,590,750"
"August 2015","Canada","23,023,886,585"
"August 2015","Mexico","19,594,048,810"
"September 2015","Canada","23,032,586,248"
"September 2015","Mexico","19,549,248,264"
"October 2015","Canada","23,841,062,267"
"October 2015","Mexico","21,237,364,525"
"November 2015","Canada","22,403,516,684"
"November 2015","Mexico","18,908,463,155"
"December 2015","Canada","21,834,298,211"
"December 2015","Mexico","18,563,321,124"
"2016","Canada","266,734,465,220"
"2016","Mexico","230,228,833,903"
"January 2016","Canada","19,700,273,865"
"January 2016","Mexico","18,045,461,091"
"February 2016","Canada","20,904,437,760"
"February 2016","Mexico","18,130,906,896"
"March 2016","Canada","23,252,724,610"
"March 2016","Mexico","19,294,544,003"
"April 2016","Canada","23,349,632,992"
"April 2016","Mexico","19,362,162,670"
"May 2016","Canada","23,075,089,765"
"May 2016","Mexico","18,991,474,630"
"June 2016","Canada","24,254,138,346"
"June 2016","Mexico","19,456,251,329"
"July 2016","Canada","20,897,796,066"
"July 2016","Mexico","18,347,430,648"
"August 2016","Canada","23,264,916,944"
"August 2016","Mexico","20,033,911,349"
"September 2016","Canada","22,661,275,543"
"September 2016","Mexico","19,719,942,704"
"October 2016","Canada","22,601,305,096"
"October 2016","Mexico","20,209,212,737"
"November 2016","Canada","21,668,474,397"
"November 2016","Mexico","19,566,973,130"
"December 2016","Canada","21,104,399,836"
"December 2016","Mexico","19,070,562,716"
"2017","Canada","282,773,829,896"
"2017","Mexico","243,608,974,625"
"January 2017","Canada","20,911,901,914"
"January 2017","Mexico","19,653,772,296"
"February 2017","Canada","21,143,655,460"
"February 2017","Mexico","18,230,820,576"
"March 2017","Canada","25,001,725,984"
"March 2017","Mexico","21,038,609,833"
"April 2017","Canada","22,772,132,198"
"April 2017","Mexico","18,935,475,483"
"May 2017","Canada","24,911,843,649"
"May 2017","Mexico","19,909,685,319"
"June 2017","Canada","25,171,806,517"
"June 2017","Mexico","21,402,565,774"
"July 2017","Canada","21,812,269,408"
"July 2017","Mexico","19,848,929,206"
"August 2017","Canada","24,529,877,770"
"August 2017","Mexico","20,886,962,722"
"September 2017","Canada","24,128,220,507"
"September 2017","Mexico","20,170,287,449"
"October 2017","Canada","23,943,645,120"
"October 2017","Mexico","22,131,013,081"
"November 2017","Canada","25,142,452,287"
"November 2017","Mexico","21,744,425,227"
"December 2017","Canada","23,304,299,082"
"December 2017","Mexico","19,656,427,659"
"2018","Canada","299,731,711,825"
"2018","Mexico","265,968,016,784"
"January 2018","Canada","22,640,517,513"
"January 2018","Mexico","21,434,364,836"
"February 2018","Canada","23,675,304,817"
"February 2018","Mexico","20,369,058,622"
"March 2018","Canada","27,266,553,880"
"March 2018","Mexico","21,957,931,231"
"April 2018","Canada","25,833,656,892"
"April 2018","Mexico","22,532,051,332"
"May 2018","Canada","27,066,361,975"
"May 2018","Mexico","23,042,558,648"
"June 2018","Canada","26,349,220,238"
"June 2018","Mexico","22,242,917,795"
"July 2018","Canada","23,707,541,297"
"July 2018","Mexico","22,916,757,688"
"August 2018","Canada","25,607,548,893"
"August 2018","Mexico","22,569,717,917"
"September 2018","Canada","24,585,778,856"
"September 2018","Mexico","21,663,927,657"
"October 2018","Canada","26,194,277,199"
"October 2018","Mexico","24,752,902,832"
"November 2018","Canada","24,490,499,758"
"November 2018","Mexico","22,958,326,161"
"December 2018","Canada","22,314,450,507"
"December 2018","Mexico","19,527,502,065"
"2019","Canada","292,820,257,565"
"2019","Mexico","256,676,487,323"
"January 2019","Canada","22,683,004,020"
"January 2019","Mexico","21,996,172,849"
"February 2019","Canada","23,191,331,441"
"February 2019","Mexico","20,264,124,925"
"March 2019","Canada","26,448,467,080"
"March 2019","Mexico","21,757,910,412"
"April 2019","Canada","25,334,444,802"
"April 2019","Mexico","22,318,727,885"
"May 2019","Canada","26,157,822,755"
"May 2019","Mexico","22,682,998,241"
"June 2019","Canada","24,886,525,674"
"June 2019","Mexico","20,725,782,926"
"July 2019","Canada","23,465,449,013"
"July 2019","Mexico","22,248,243,964"
"August 2019","Canada","25,309,167,694"
"August 2019","Mexico","21,975,597,285"
"September 2019","Canada","24,307,375,177"
"September 2019","Mexico","20,637,665,421"
"October 2019","Canada","25,266,554,519"
"October 2019","Mexico","22,280,482,910"
"November 2019","Canada","23,430,118,158"
"November 2019","Mexico","20,819,372,597"
"December 2019","Canada","22,339,997,232"
"December 2019","Mexico","18,969,407,908"
"2020","Canada","256,212,256,538"
"2020","Mexico","212,512,806,763"
"January 2020","Canada","22,614,436,107"
"January 2020","Mexico","20,840,066,322"
"February 2020","Canada","23,284,052,771"
"February 2020","Mexico","19,310,694,516"
"March 2020","Canada","23,657,292,468"
"March 2020","Mexico","19,773,971,584"
"April 2020","Canada","14,735,186,911"
"April 2020","Mexico","12,381,136,086"
"May 2020","Canada","14,841,788,172"
"May 2020","Mexico","10,428,109,739"
"June 2020","Canada","20,165,645,394"
"June 2020","Mexico","15,784,080,645"
"July 2020","Canada","21,320,478,514"
"July 2020","Mexico","18,698,574,584"
"August 2020","Canada","22,923,558,711"
"August 2020","Mexico","17,154,584,329"
"September 2020","Canada","23,405,794,440"
"September 2020","Mexico","18,714,786,127"
"October 2020","Canada","23,663,850,531"
"October 2020","Mexico","20,496,130,521"
"November 2020","Canada","22,544,227,401"
"November 2020","Mexico","19,445,786,620"
"December 2020","Canada","23,055,945,118"
"December 2020","Mexico","19,484,885,690"
"2021","Canada","309,604,001,291"
"2021","Mexico","277,194,626,233"
"January 2021","Canada","21,591,410,363"
"January 2021","Mexico","19,572,686,717"
"February 2021","Canada","22,375,658,729"
"February 2021","Mexico","21,426,194,311"
"March 2021","Canada","28,282,656,386"
"March 2021","Mexico","23,333,111,000"
"April 2021","Canada","25,339,537,299"
"April 2021","Mexico","22,371,837,563"
"May 2021","Canada","25,599,547,245"
"May 2021","Mexico","22,915,184,352"
"June 2021","Canada","26,849,917,717"
"June 2021","Mexico","24,181,181,018"
"July 2021","Canada","25,903,684,932"
"July 2021","Mexico","23,946,333,601"
"August 2021","Canada","25,909,208,135"
"August 2021","Mexico","24,358,660,521"
"September 2021","Canada","24,754,693,863"
"September 2021","Mexico","22,817,871,207"
"October 2021","Canada","27,483,454,204"
"October 2021","Mexico","24,466,848,896"
"November 2021","Canada","27,775,905,815"
"November 2021","Mexico","23,970,964,615"
"December 2021","Canada","27,738,326,603"
"December 2021","Mexico","23,833,752,432"
"2022","Canada","359,236,512,977"
"2022","Mexico","324,207,122,780"
"January 2022","Canada","24,863,931,878"
"January 2022","Mexico","23,771,213,768"
"February 2022","Canada","25,627,989,202"
"February 2022","Mexico","23,631,520,102"
"March 2022","Canada","32,811,885,744"
"March 2022","Mexico","28,529,929,360"
"April 2022","Canada","31,110,651,772"
"April 2022","Mexico","27,288,472,168"
"May 2022","Canada","30,800,486,934"
"May 2022","Mexico","28,936,633,645"
"June 2022","Canada","33,212,478,730"
"June 2022","Mexico","29,054,237,738"
"July 2022","Canada","29,801,486,714"
"July 2022","Mexico","27,261,430,340"
"August 2022","Canada","32,261,334,269"
"August 2022","Mexico","29,880,014,326"
"September 2022","Canada","30,622,380,974"
"September 2022","Mexico","27,751,461,150"
"October 2022","Canada","30,273,570,613"
"October 2022","Mexico","27,975,209,131"
"November 2022","Canada","29,751,059,945"
"November 2022","Mexico","25,568,212,215"
"December 2022","Canada","28,099,256,202"
"December 2022","Mexico","24,558,788,837"
"2023","Canada","354,355,997,349"
"2023","Mexico","322,742,472,406"
"January 2023","Canada","27,562,867,025"
"January 2023","Mexico","27,104,448,069"
"February 2023","Canada","27,035,465,305"
"February 2023","Mexico","24,863,561,698"
"March 2023","Canada","32,063,332,460"
"March 2023","Mexico","29,113,009,477"
"April 2023","Canada","29,268,795,258"
"April 2023","Mexico","24,852,205,448"
"May 2023","Canada","30,971,930,849"
"May 2023","Mexico","27,326,623,602"
"June 2023","Canada","31,554,291,294"
"June 2023","Mexico","27,212,125,479"
"July 2023","Canada","28,752,856,644"
"July 2023","Mexico","26,348,073,640"
"August 2023","Canada","31,222,800,026"
"August 2023","Mexico","29,002,254,145"
"September 2023","Canada","29,760,833,567"
"September 2023","Mexico","27,470,107,918"
"October 2023","Canada","29,303,753,519"
"October 2023","Mexico","29,681,741,083"
"November 2023","Canada","28,989,840,206"
"November 2023","Mexico","25,932,213,702"
"December 2023","Canada","27,869,231,196"
"December 2023","Mexico","23,836,108,145"
"2024","Canada","348,503,416,208"
"2024","Mexico","334,041,359,045"
"January 2024","Canada","26,344,107,286"
"January 2024","Mexico","26,481,484,626"
"February 2024","Canada","28,493,820,962"
"February 2024","Mexico","26,782,192,986"
"March 2024","Canada","30,858,543,308"
"March 2024","Mexico","26,900,779,900"
"April 2024","Canada","30,646,968,310"
"April 2024","Mexico","29,399,455,599"
"May 2024","Canada","30,285,350,120"
"May 2024","Mexico","29,088,172,236"
"June 2024","Canada","29,906,105,810"
"June 2024","Mexico","27,685,105,980"
"July 2024","Canada","27,700,375,563"
"July 2024","Mexico","28,716,066,029"
"August 2024","Canada","29,919,514,126"
"August 2024","Mexico","30,021,492,150"
"September 2024","Canada","29,152,632,625"
"September 2024","Mexico","28,330,319,054"
"October 2024","Canada","29,817,678,853"
"October 2024","Mexico","29,115,498,875"
"November 2024","Canada","28,389,282,858"
"November 2024","Mexico","26,900,220,432"
"December 2024","Canada","26,989,036,387"
"December 2024","Mexico","24,620,571,178"
"2025 through March","Canada","86,565,186,415"
"2025 through March","Mexico","84,045,526,751"
"January 2025","Canada","26,457,047,648"
"January 2025","Mexico","27,929,512,213"
"February 2025","Canada","28,317,924,380"
"February 2025","Mexico","26,753,584,572"
"March 2025","Canada","31,790,214,387"
"March 2025","Mexico","29,362,429,966"
